translational_period,lateral_force_resisting_system,seismic_design_intensity,n_buildings,alpha_0_times_100,alpha_b,alpha_h,r_squared,r_squared_period,sigma_ln_t,sigma_ln_t_eq23
T_S,Non-Framed Tube,Low-Intensity,926,2.551404871874988,0.0,1.0,0.6098351722471667,0.5606989906495603,0.14931822152120006,0.14939891227095387
T_S,Non-Framed Tube,High-Intensity,73,2.220890470800286,0.0,1.0,0.7059658763720587,0.6441708620201239,0.15054575073969162,0.1515876022764169
T_S,Framed Tube,Low-Intensity,276,1.4744511307800312,0.0,1.1,0.7914945279000791,0.7479613113777281,0.11118915461988982,0.1113911332688668
T_S,Framed Tube,High-Intensity,58,1.1686568380886306,0.0,1.1,0.8289931815488814,0.8057196358496849,0.10243161264101971,0.10332622886368922
T_L,Non-Framed Tube,Low-Intensity,926,2.219045423988838,0.0,1.0,0.6330883715556784,0.589629719652316,0.14923112398232494,0.14931176766504542
T_L,Non-Framed Tube,High-Intensity,73,1.9670985212070502,0.0,1.0,0.7653352394702659,0.7282992916592446,0.14518152469865633,0.14618625312086836
T_L,Framed Tube,Low-Intensity,276,1.2320417031846682,0.0,1.1,0.7063879359274537,0.6574400979639703,0.13561094637885066,0.13585728799220068
T_L,Framed Tube,High-Intensity,58,1.0488987176741387,0.0,1.1,0.8387261914543646,0.8400165002553429,0.10060572917796813,0.10148439851739882
