dataset,n_observations,r_squared,rmse_s,mre_percent
Transverse,1333,0.6687585494924395,0.48376665159042465,-1.4986405653311794
Longitudinal,1333,0.666899351252529,0.42199076071328334,3.58617817764317
Combined,2666,0.6933397881421082,0.453930818142141,1.0437688061559949
