lateral_force_resisting_system,seismic_design_intensity,n_buildings,n_directional_observations,alpha_0_times_100,alpha_b,alpha_h,r_squared,r_squared_log,sigma_ln_t,sigma_ln_t_eq23,e_sigma_percent
Non-Framed Tube,Low-Intensity,926,1852,4.6467345189057525,0.2,1.0,0.6171815173110802,0.660035035781035,0.14726291080328116,0.14730268471644484,3.35103564437427
Non-Framed Tube,High-Intensity,73,146,4.038536853289379,0.2,1.0,0.7028887157145423,0.739713850565229,0.15059575226963254,0.15111415570383124,2.52085818232541
Framed Tube,Low-Intensity,276,552,3.0156511833513093,0.2,1.1,0.6867677691789766,0.7304190194197839,0.13641483765042595,0.13653856995491115,0.19442957134557717
Framed Tube,High-Intensity,58,116,2.4720102599703186,0.2,1.1,0.8037444970514402,0.8051408543311149,0.1125252369283553,0.11301341812256552,4.386279112138061
